Bee ID,MC,died during trial?,infect treat,pollen treat,innoc. Date,worker death,days infect,crithidia count,marginal cell,
V,39,no,U,S,20-May,1-Jul,42,,3.7,
I,40,no,U,B,20-May,1-Jul,42,0,3.6,
II,40,no,U,B,20-May,1-Jul,42,0,3.9,
III,40,no,U,B,20-May,1-Jul,42,0,3.8,
IV,40,no,U,B,20-May,1-Jul,42,,4,
V,40,no,U,B,20-May,1-Jul,42,,4.1,
I,41,yes,I,S,20-Jul,21-Jul,1,,3.2,
II,41,yes,I,S,20-Jul,27-Jul,7,,3.4,
III,41,yes,I,S,20-Jul,31-Aug,42,,3.9,
IV,41,no,I,S,20-Jul,4-Sep,46,13,3.2,
V,41,no,I,S,20-Jul,4-Sep,46,22,4.3,
I,42,yes,I,S,20-Jul,9-Aug,,,4.1,
II,42,yes,I,B,20-Jul,10-Aug,21,,3.9,
III,42,yes,I,B,20-Jul,17-Aug,28,,4,
IV,42,yes,I,B,20-Jul,1-Sep,43,,3.7,
V,42,no,I,B,20-Jul,1-Sep,43,22,4,
I,43,yes,U,S,20-Jul,22-Jul,2,,3.2,
II,43,yes,U,S,20-Jul,11-Aug,22,,3.8,
III,43,yes,U,S,20-Jul,24-Aug,35,,3.9,
IV,43,yes,U,S,20-Jul,24-Aug,35,,3.9,
V,43,no,U,S,20-Jul,24-Aug,35,0,3.7,
I,44,yes,U,B,20-Jul,24-Jul,4,,3.9,
II,44,yes,U,B,20-Jul,4-Aug,15,,3.3,
III,44,yes,U,B,20-Jul,12-Aug,23,,,no wing
IV,44,yes,U,B,20-Jul,8-Sep,50,,3.8,
V,44,no,U,B,20-Jul,8-Sep,50,0,3.4,
I,45,yes,I,S,20-Jul,24-Jul,4,,4.1,
II,45,yes,I,S,20-Jul,24-Jul,4,,3.9,
III,45,yes,I,S,20-Jul,29-Jul,9,,3.6,
IV,45,no,I,S,20-Jul,4-Sep,46,63,3.7,
V,45,no,I,S,20-Jul,4-Sep,46,60,4.2,
I,46,yes,I,B,20-Jul,17-Aug,28,,4,
II,46,no,I,B,20-Jul,31-Aug,42,33,3.4,
III,46,no,I,B,20-Jul,31-Aug,42,43,3.6,
IV,46,no,I,B,20-Jul,31-Aug,42,110,4.3,
V,46,no,I,B,20-Jul,31-Aug,42,0,3.5,
I,47,yes,U,S,20-Jul,23-Jul,3,,4.1,
II,47,yes,U,S,20-Jul,24-Aug,35,,3.3,
III,47,yes,U,S,20-Jul,24-Aug,35,,3.4,
IV,47,yes,U,S,20-Jul,2-Sep,44,,4,
V,47,no,U,S,20-Jul,2-Sep,44,0,4,
I,48,yes,U,B,20-Jul,21-Jul,1,,3.7,
II,48,yes,U,B,20-Jul,21-Jul,1,,3.9,
III,48,yes,U,B,20-Jul,6-Aug,17,,3.9,
IV,48,yes,U,B,20-Jul,31-Aug,42,,3.4,
V,48,no,U,B,20-Jul,31-Aug,42,0,4.5,
I,49,yes,I,S,20-Jul,13-Aug,24,,4,
II,49,yes,I,B,20-Jul,17-Aug,28,,3.3,
III,49,yes,I,S,20-Jul,24-Aug,35,,3.9,
IV,49,yes,I,S,20-Jul,24-Aug,35,,3.4,
V,49,no,I,S,20-Jul,24-Aug,35,15,3.7,
I,51,yes,U,S,20-Jul,21-Jul,1,,3.5,
II,51,yes,U,S,20-Jul,17-Aug,28,,3.5,
III,51,yes,U,S,20-Jul,17-Aug,28,,3.4,
IV,51,no,U,S,20-Jul,28-Aug,39,0,3.5,
V,51,no,U,S,20-Jul,28-Aug,39,0,4,
I,52,yes,U,B,20-Jul,27-Jul,7,,4.4,
II,52,yes,U,B,20-Jul,4-Aug,15,,4,
III,52,yes,U,B,20-Jul,12-Aug,23,,3.8,
IV,52,no,U,B,20-Jul,31-Aug,42,0,4.5,
V,52,no,U,B,20-Jul,31-Aug,42,0,4.1,
I,53,yes,I,S,20-Jul,30-Jul,10,,3.3,
II,53,yes,I ,S,20-Jul,4-Aug,15,,3.7,
III,53,yes,I,S,20-Jul,24-Aug,35,,3.8,
IV,53,yes,I,S,20-Jul,1-Sep,43,,4.4,
V,53,no,I,S,20-Jul,1-Sep,43,6,4.1,
I,55,yes,U,S,20-Jul,24-Aug,35,,3.4,
II,55,yes,U,S,20-Jul,27-Aug,38,,4,
III,55,no,U,S,20-Jul,3-Sep,45,0,3.8,
IV,55,no,U,S,20-Jul,3-Sep,45,0,4.2,
V,55,no,U,S,20-Jul,3-Sep,45,,3.9,
I,56,yes,U,B,20-Jul,27-Jul,7,,4.6,
II,56,yes,U,B,20-Jul,27-Aug,38,,4.1,
III,56,yes,U,B,20-Jul,10-Sep,52,,3.9,
IV,56,no,U,B,20-Jul,29-Sep,89,0,4.2,
V,56,no,U,B,20-Jul,29-Sep,71,0,3.9,
I,57,yes,I,S,20-Jul,8-Aug,19,,4.3,
II,57,yes,I,S,20-Jul,13-Aug,24,,3.5,
III,57,yes,I,S,20-Jul,24-Aug,35,,3.3,
IV,57,no,I,S,20-Jul,3-Sep,45,0,4.1,
V,57,no,I,S,20-Jul,3-Sep,45,0,3.8,
I,58,yes,I,S,20-Jul,21-Jul,1,,4,
II,58,yes,I,B,20-Jul,24-Jul,4,,3.8,
III,58,yes,I,B,20-Jul,29-Jul,9,,3,
IV,58,yes,I,B,20-Jul,20-Aug,31,,2.7,
V,58,no,I,B,20-Jul,20-Aug,31,81,3.7,
I,59,yes,U,S,20-Jul,22-Aug,33,,3.5,
II,59,yes,U,S,20-Jul,25-Aug,36,,3.5,
III,59,yes,U,S,20-Jul,27-Aug,38,,3.3,
IV,59,no,U,S,20-Jul,27-Aug,38,0,3.8,
V,59,no,U,S,20-Jul,27-Aug,38,0,4.1,
I,60,yes,U,B,20-Jul,17-Aug,28,,3.5,
II,60,no,U,B,20-Jul,3-Sep,45,0,3.5,
III,60,no,U,B,20-Jul,3-Sep,45,0,3.6,
IV,60,no,U,B,7-Aug,3-Sep,27,0,3.9,
V,60,no,U,B,7-Aug,3-Sep,27,,3.6,
I,61,yes,I,S,7-Aug,24-Aug,17,,3.4,
II,61,yes,I,S,7-Aug,24-Aug,17,,3.6,
III,61,yes,I,S,7-Aug,28-Aug,21,,4,
IV,61,yes,I,S,7-Aug,3-Sep,27,,4,
V,61,yes,I,S,7-Aug,3-Sep,27,0,4.5,
I,62,yes,I,B,7-Aug,31-Aug,24,,3.3,
II,62,no,I,B,7-Aug,21-Sep,45,30,4.5,
III,62,no,I,B,7-Aug,21-Sep,45,36,4.6,
IV,62,no,I,B,7-Aug,21-Sep,45,18,3.4,
V,62,no,I,B,7-Aug,21-Sep,45,,3.2,
I,63,no,U,S,7-Aug,21-Sep,45,0,4.5,
II,63,no,U,S,7-Aug,21-Sep,45,0,3.9,
III,63,no,U,S,7-Aug,21-Sep,45,0,3.6,
IV,63,no,U,S,7-Aug,21-Sep,45,,3.5,
V,63,no,U,S,7-Aug,21-Sep,45,,3.9,
I,64,yes,U,B,7-Aug,24-Aug,17,,3,
II,64,yes,U,B,7-Aug,28-Aug,21,,3.5,
III,64,yes,U,B,7-Aug,11-Sep,35,,3.9,
IV,64,yes,U,B,7-Aug,15-Sep,39,,3.4,
V,64,no,U,B,7-Aug,15-Sep,39,0,4.6,
I,65,yes,I,S,7-Aug,12-Aug,5,,3.7,
II,65,yes,I,S,7-Aug,28-Aug,21,,3.8,
III,65,no,I,S,7-Aug,21-Sep,45,0,3.6,
IV,65,no,I,S,7-Aug,21-Sep,45,0,3.7,
V,65,no,I,S,7-Aug,21-Sep,45,,3,
I,66,yes,I,B,7-Aug,8-Sep,32,,3.9,
II,66,yes,I,B,7-Aug,10-Sep,34,,3.5,
III,66,no,I,B,7-Aug,23-Sep,47,20,4.2,
IV,66,no,I,B,7-Aug,23-Sep,47,53,3.8,
V,66,no,I,B,7-Aug,23-Sep,47,,3.2,
I,67,yes,U,S,7-Aug,28-Aug,21,,3.6,
II,67,yes,U,S,7-Aug,28-Aug,21,,4.2,
III,67,yes,U,S,7-Aug,4-Sep,28,,3.4,
IV,67,yes,U,S,7-Aug,8-Sep,32,,3.2,
V,67,yes,U,S,7-Aug,8-Sep,32,,3.9,
I,68,yes,U,B,7-Aug,10-Sep,34,,4,
II,68,yes,U,B,7-Aug,13-Sep,37,,3.7,
III,68,no,U,B,7-Aug,21-Sep,45,0,4.4,
IV,68,no,U,B,7-Aug,21-Sep,45,0,3.9,
V,68,no,U,B,7-Aug,21-Sep,45,,3.9,
I,69,yes,I,S,7-Aug,25-Aug,18,,3.5,
II,69,yes,I,S,7-Aug,28-Aug,21,,3.2,
III,69,yes,I,S,7-Aug,31-Aug,24,,3.8,
IV,69,yes,I,B,7-Aug,8-Sep,32,,3.3,
V,69,yes,I,B,7-Aug,8-Sep,32,0,4,
I,70,no,I,B,7-Aug,21-Sep,45,0,3.5,
II,70,no,I,B,7-Aug,21-Sep,45,18,3.6,
III,70,no,I,B,7-Aug,21-Sep,45,35,3.6,
IV,70,no,I,B,7-Aug,21-Sep,45,6,3.7,
V,70,no,I,B,7-Aug,21-Sep,45,,3.4,
I,71,yes,U,S,7-Aug,10-Aug,3,,3.5,
II,71,yes,U,S,7-Aug,12-Aug,5,,4,
III,71,yes,U,S,7-Aug,28-Aug,21,,4.6,
IV,71,yes,U,S,7-Aug,1-Sep,25,,3.6,
V,71,no,U,B,7-Aug,1-Sep,25,0,4.6,
I,72,yes,U,B,7-Aug,1-Sep,25,,4.1,
II,72,yes,U,B,7-Aug,8-Sep,32,,3.7,
III,72,no,U,B,7-Aug,21-Sep,45,0,3.6,
IV,72,no,U,B,7-Aug,21-Sep,45,0,4.7,
V,72,no,U,B,7-Aug,21-Sep,45,,3.5,
I,73,yes,I,S,7-Aug,17-Aug,10,,3.3,
II,73,yes,I,S,7-Aug,24-Aug,17,,3.3,
III,73,yes,I,S,7-Aug,2-Sep,26,,3.4,
IV,73,yes,I,S,7-Aug,14-Sep,38,,4.1,
V,73,no,I,S,7-Aug,14-Sep,38,0,4,
I,74,yes,I,B,7-Aug,28-Aug,21,,3.9,
II,74,yes,I,B,7-Aug,3-Sep,27,,3.3,
III,74,yes,I,B,7-Aug,18-Sep,42,,3.2,
IV,74,no,I,B,7-Aug,21-Sep,45,6,3.6,
V,74,no,I,B,7-Aug,21-Sep,45,20,4,
I,75,yes,U,S,7-Aug,19-Aug,12,,4,
II,75,yes,U,S,7-Aug,31-Aug,24,,3.3,
III,75,yes,U,S,7-Aug,1-Sep,25,,4,
IV,75,yes,U,S,7-Aug,3-Sep,27,,4.1,
V,75,no,U,S,7-Aug,3-Sep,27,0,3.9,
I,76,yes,U,B,7-Aug,10-Sep,34,,3.2,
II,76,no,U,B,7-Aug,22-Sep,46,0,3.9,
III,76,no,U,B,7-Aug,22-Sep,46,0,3.5,
IV,76,no,U,B,7-Aug,22-Sep,46,0,3.2,
V,76,no,U,B,7-Aug,22-Sep,46,,4,
I,77,yes,I,S,7-Aug,24-Aug,17,,3.5,
II,77,yes,I,S,7-Aug,26-Aug,19,,3.6,
III,77,yes,I,S,7-Aug,26-Aug,19,,3.1,
IV,77,yes,I,S,7-Aug,11-Sep,35,,3.7,
V,77,no,I,S,7-Aug,11-Sep,35,0,3.9,
I,78,yes,I,B,7-Aug,23-Aug,16,,3.4,
II,78,yes,I,B,7-Aug,25-Aug,18,,3.8,
III,78,yes,I,B,7-Aug,25-Aug,18,,3.7,
IV,78,yes,I,B,7-Aug,28-Aug,21,,,mystery disappearance
V,78,no,I,B,7-Aug,28-Aug,21,22,3.6,
I,79,yes,U,S,7-Aug,24-Aug,17,,4.7,
II,79,yes,U,S,7-Aug,9-Sep,33,,3.4,
III,79,yes,U,S,7-Aug,10-Sep,34,,3.6,
IV,79,no,U,S,7-Aug,21-Sep,45,0,4.1,
V,79,no,U,S,7-Aug,21-Sep,45,,3.4,
I,80,yes,U,B,7-Aug,13-Aug,6,,3.9,
II,80,yes,U,B,7-Aug,15-Aug,8,,3.5,
III,80,yes,U,B,7-Aug,2-Sep,26,,3.2,
IV,80,no,U,B,7-Aug,1-Oct,55,0,4.1,
V,80,no,U,B,7-Aug,1-Oct,55,0,3.6,
