Start Day,Day,Micro. #,Infect.,Pollen,# of bees,Hours Feeding,Nectar consumed,Nectar per bee,Nectar per bee per hour,Pollen consumed,Pollen corrected for evp.,Pollen per bee,Pollen per bee per hour,Corrected pollen per bee per hour
5/19/2015,37,2,I,B,2,24.10416667,2.1411,1.07055,0.044413483,0.0388,0.008566667,0.004283333,0.000177701,0.000177701
5/19/2015,38,2,I,B,2,24.00208333,2.0448,1.0224,0.042596302,0.0372,0.006966667,0.003483333,0.000145126,0.000145126
5/19/2015,1,3,U,S,5,.,2.816,0.5632,.,0.1094,0.093113333,0.018622667,.,.
5/19/2015,2,3,U,S,4,23.96944444,4.6388,1.1597,0.048382431,0.0834,0.067113333,0.016778333,0.000699988,0.000699988
5/19/2015,3,3,U,S,4,24.30138889,3.1621,0.790525,0.032530034,0.0997,0.083413333,0.020853333,0.000858113,0.000858113
5/19/2015,7,3,U,S,4,.,2.572,0.643,.,0.0811,0.064813333,0.016203333,.,.
5/19/2015,8,3,U,S,4,24.34166667,2.7465,0.686625,0.028207806,0.0906,0.074313333,0.018578333,0.000763232,0.000763232
5/19/2015,9,3,U,S,4,24.03611111,2.8909,0.722725,0.0300683,0.0868,0.070513333,0.017628333,0.00073341,0.00073341
5/19/2015,10,3,U,S,4,23.98680556,2.3528,0.5882,0.024521815,0.113,0.096713333,0.024178333,0.001007985,0.001007985
5/19/2015,14,3,U,S,4,.,2.2806,0.57015,.,0.0759,0.059613333,0.014903333,.,.
5/19/2015,15,3,U,S,4,23.94722222,3.1904,0.7976,0.033306577,0.0468,0.030513333,0.007628333,0.000318548,0.000318548
5/19/2015,16,3,U,S,4,24.02777778,3.2816,0.8204,0.034143815,0.0479,0.031613333,0.007903333,0.000328925,0.000328925
5/19/2015,17,3,U,S,4,23.93958333,3.0321,0.758025,0.031664085,0.0655,0.049213333,0.012303333,0.000513933,0.000513933
5/19/2015,22,3,U,S,4,.,3.0176,0.7544,.,0.1009,0.084613333,0.021153333,.,.
5/19/2015,23,3,U,S,4,24.01458333,3.2291,0.807275,0.033616032,0.0861,0.069813333,0.017453333,0.000726781,0.000726781
5/19/2015,24,3,U,S,4,23.98958333,2.9286,0.73215,0.030519496,0.0865,0.070213333,0.017553333,0.000731706,0.000731706
5/19/2015,28,3,U,S,4,.,3.0551,0.763775,.,0.0914,0.075113333,0.018778333,.,.
5/19/2015,29,3,U,S,4,24.01180556,3.3337,0.833425,0.034708968,0.1721,0.155813333,0.038953333,0.001622258,0.001622258
5/19/2015,30,3,U,S,4,23.98333333,3.6404,0.9101,0.037947186,0.1927,0.176413333,0.044103333,0.001838916,0.001838916
5/19/2015,31,3,U,S,4,24.00486111,3.837,0.95925,0.039960656,0.2397,0.223413333,0.055853333,0.002326751,0.002326751
5/19/2015,32,3,U,S,4,24.05763889,3.0469,0.761725,0.0316625,0.13,0.113713333,0.028428333,0.001181676,0.001181676
5/19/2015,36,3,U,S,4,.,2.9699,0.742475,.,0.1126,0.096313333,0.024078333,.,.
5/19/2015,37,3,U,S,4,24.03958333,2.8012,0.7003,0.029131121,0.1252,0.108913333,0.027228333,0.001132646,0.001132646
5/19/2015,38,3,U,S,4,24.40208333,3.17,0.7925,0.032476735,0.1572,0.140913333,0.035228333,0.001443661,0.001443661
5/19/2015,42,3,U,S,4,.,2.8913,0.722825,.,0.1808,0.164513333,0.041128333,.,.
5/19/2015,43,3,U,S,4,24.01944444,3.0142,0.75355,0.031372499,0.1777,0.161413333,0.040353333,0.001680028,0.001680028
5/19/2015,44,3,U,S,3,23.93611111,1.9822,0.660733333,0.027604039,0.1075,0.091213333,0.030404444,0.001270233,0.001270233
5/19/2015,1,4,U,B,5,.,3.1374,0.62748,.,0.084,0.053766667,0.010753333,.,.
5/19/2015,2,4,U,B,5,23.94791667,3.8367,0.76734,0.032042036,0.0924,0.062166667,0.012433333,0.000519182,0.000519182
5/19/2015,3,4,U,B,5,24.30208333,3.4473,0.68946,0.028370407,0.1446,0.114366667,0.022873333,0.000941209,0.000941209
5/19/2015,7,4,U,B,5,.,2.7865,0.5573,.,0.0938,0.063566667,0.012713333,.,.
5/19/2015,8,4,U,B,5,24.35347222,2.9194,0.58388,0.023975226,0.0629,0.032666667,0.006533333,0.000268271,0.000268271
5/19/2015,9,4,U,B,5,23.94027778,4.1482,0.82964,0.034654569,0.0714,0.041166667,0.008233333,0.000343911,0.000343911
5/19/2015,10,4,U,B,5,24.05486111,4.4311,0.88622,0.036841618,.,.,.,.,.
5/19/2015,14,4,U,B,5,.,4.833,0.9666,.,0.0486,0.018366667,0.003673333,.,.
5/19/2015,15,4,U,B,5,23.95486111,3.6207,0.72414,0.030229355,0.0424,0.012166667,0.002433333,0.00010158,0.00010158
5/19/2015,16,4,U,B,5,23.98611111,3.9431,0.78862,0.032878193,0.0918,0.061566667,0.012313333,0.000513353,0.000513353
5/19/2015,17,4,U,B,5,23.97916667,3.4949,0.69898,0.02914947,0.0461,0.015866667,0.003173333,0.000132337,0.000132337
5/19/2015,22,4,U,B,4,.,3.3812,0.8453,.,0.0418,0.011566667,0.002891667,.,.
5/19/2015,23,4,U,B,4,23.95833333,3.7558,0.93895,0.039190957,0.0346,0.004366667,0.001091667,4.55652E-05,4.55652E-05
5/19/2015,24,4,U,B,4,24.03958333,3.4996,0.8749,0.036394142,.,.,.,.,.
5/19/2015,28,4,U,B,4,.,3.5455,0.886375,.,0.0588,0.028566667,0.007141667,.,.
5/19/2015,29,4,U,B,3,23.92916667,2.9933,0.997766667,0.041696674,0.0657,0.035466667,0.011822222,0.000494051,0.000494051
5/19/2015,30,4,U,B,4,24.00972222,3.4015,0.850375,0.035417944,0.069,0.038766667,0.009691667,0.000403656,0.000403656
5/19/2015,31,4,U,B,4,24.00277778,3.9308,0.9827,0.040941095,.,.,.,.,.
5/19/2015,32,4,U,B,4,24.05555556,3.0901,0.772525,0.032114203,0.0503,0.020066667,0.005016667,0.000208545,0.000208545
5/19/2015,36,4,U,B,4,.,2.6376,0.6594,.,0.0344,0.004166667,0.001041667,.,.
5/19/2015,37,4,U,B,4,23.77777778,2.6346,0.65865,0.027700234,0.028,-0.002233333,-0.000558333,-2.34813E-05,.
5/19/2015,38,4,U,B,4,24.40486111,2.3141,0.578525,0.023705318,0.0323,0.002066667,0.000516667,2.11706E-05,2.11706E-05
5/19/2015,42,4,U,B,3,.,2.1047,0.701566667,.,0.0041,-0.026133333,-0.008711111,.,.
5/19/2015,43,4,U,B,3,23.96388889,12.7199,4.239966667,0.176931494,0.0164,-0.013833333,-0.004611111,-0.000192419,.
5/19/2015,44,4,U,B,4,23.97083333,2.3501,0.587525,0.024509995,0.0349,0.004666667,0.001166667,4.86703E-05,4.86703E-05
5/19/2015,45,4,U,B,4,23.98402778,2.8504,0.7126,0.02971144,0.0395,0.009266667,0.002316667,9.65921E-05,9.65921E-05
5/19/2015,49,4,U,B,3,.,2.2602,0.7534,.,0.0251,-0.005133333,-0.001711111,.,.
5/19/2015,1,5,I,S,5,.,2.4648,0.49296,.,0.0516,0.035313333,0.007062667,.,.
5/19/2015,2,5,I,S,4,23.88958333,2.885,0.72125,0.030190983,0.067,0.050713333,0.012678333,0.000530706,0.000530706
5/19/2015,3,5,I,S,3,24.01180556,2.4242,0.808066667,0.033652891,0.0819,0.065613333,0.021871111,0.000910848,0.000910848
